n,k,seed,nodes,restarts,peak depth,solving time,conflicts,propagations,sb propagations,sb prop / all prop,scc propagations,scc prop / all prop,average conflict size,unit nogoods learned,average nogood length,average backtrack amount,average lbd,base time,sb time,scc time
20,3,530720349,60,0,6,0.0014653,39,5460,0,0.0,0,0.0,2.5128205128205128,1,3.6923076923076925,0.0,2.7948717948717947,0.00010470000000000001,0.0,0.0
20,3,575181974,57,0,6,0.0012978,32,4839,0,0.0,0,0.0,2.15625,5,2.90625,0.0,2.15625,9.920000000000001e-05,0.0,0.0
20,3,315045229,21,0,7,0.0006128,10,1874,0,0.0,0,0.0,3.6,1,3.9,0.0,2.8,5.6500000000000005e-05,0.0,0.0
20,3,655352531,24,0,8,0.0004948,9,1766,0,0.0,0,0.0,3.888888888888889,1,3.0,0.0,3.0,5.41e-05,0.0,0.0
20,3,547477694,23,0,6,0.0005845,14,2048,0,0.0,0,0.0,2.5714285714285716,1,2.642857142857143,0.0,2.357142857142857,4.46e-05,0.0,0.0
20,3,883955585,12,0,6,0.0002485,4,1204,0,0.0,0,0.0,2.0,0,5.0,0.0,3.0,1.52e-05,0.0,0.0
20,3,897134109,15,0,7,0.0004574,7,1489,0,0.0,0,0.0,2.2857142857142856,0,3.857142857142857,0.0,2.5714285714285716,4.32e-05,0.0,0.0
20,3,963076545,9,0,6,0.00019,2,861,0,0.0,0,0.0,3.5,0,2.5,0.0,2.5,2.3500000000000002e-05,0.0,0.0
20,3,849035760,42,0,7,0.0013165,32,5995,0,0.0,0,0.0,4.375,1,4.0625,0.0,2.84375,0.0001027,0.0,0.0
20,3,519323171,53,0,7,0.0015131,34,4235,0,0.0,0,0.0,3.588235294117647,2,3.588235294117647,0.0,2.6470588235294117,0.0001242,0.0,0.0
20,3,418747663,74,0,9,0.0017845,34,5963,0,0.0,0,0.0,3.588235294117647,1,3.5588235294117645,0.0,2.6176470588235294,0.0001707,0.0,0.0
20,3,189975796,26,0,6,0.0010965,17,3396,0,0.0,0,0.0,5.176470588235294,1,3.4705882352941178,0.0,2.411764705882353,7.010000000000001e-05,0.0,0.0
20,3,415991385,52,0,6,0.001238,35,5591,0,0.0,0,0.0,4.3428571428571425,3,3.6,0.0,2.6857142857142855,8.66e-05,0.0,0.0
20,3,774638603,21,0,5,0.0012291,18,3714,0,0.0,0,0.0,5.888888888888889,0,3.611111111111111,0.0,2.9444444444444446,7.47e-05,0.0,0.0
20,3,161885242,13,0,5,0.0004493,6,1362,0,0.0,0,0.0,4.666666666666667,0,4.333333333333333,0.0,3.0,3.85e-05,0.0,0.0
20,3,887925286,73,0,8,0.0026276,49,9391,0,0.0,0,0.0,4.938775510204081,4,3.836734693877551,0.0,2.5714285714285716,0.0001763,0.0,0.0
20,3,745693053,101,0,7,0.0027327,83,12742,0,0.0,0,0.0,4.216867469879518,1,3.5301204819277108,0.0,2.8072289156626504,0.00016920000000000002,0.0,0.0
20,3,258300196,34,0,7,0.0007567,21,3507,0,0.0,0,0.0,4.809523809523809,1,4.190476190476191,0.0,3.142857142857143,4.7300000000000005e-05,0.0,0.0
20,3,183706695,19,0,5,0.0006413,14,3190,0,0.0,0,0.0,2.0,2,4.857142857142857,0.0,2.4285714285714284,2.8800000000000002e-05,0.0,0.0
20,3,734026998,7,0,6,0.0002014,2,699,0,0.0,0,0.0,2.0,0,4.5,0.0,4.0,2.47e-05,0.0,0.0
20,3,18358194,26,0,5,0.0012029,19,4084,0,0.0,0,0.0,4.526315789473684,0,6.157894736842105,0.0,2.8947368421052633,7.950000000000001e-05,0.0,0.0
20,3,717839544,23,0,7,0.000344,10,1744,0,0.0,0,0.0,2.8,0,3.0,0.0,2.5,3.54e-05,0.0,0.0
20,3,707486954,48,0,8,0.001278,29,5242,0,0.0,0,0.0,3.689655172413793,3,3.3793103448275863,0.0,2.793103448275862,0.0001337,0.0,0.0
20,3,921077183,101,0,8,0.002595,69,10357,0,0.0,0,0.0,2.6956521739130435,1,4.101449275362318,0.0,2.9420289855072466,0.0002018,0.0,0.0
20,3,197170952,6,0,4,0.0002149,4,974,0,0.0,0,0.0,7.25,0,3.25,0.0,2.75,1.25e-05,0.0,0.0
20,3,246757722,20,0,6,0.0004582,11,2234,0,0.0,0,0.0,2.3636363636363638,1,2.727272727272727,0.0,2.090909090909091,4.0100000000000006e-05,0.0,0.0
20,3,597792136,32,0,6,0.000804,24,3663,0,0.0,0,0.0,2.7083333333333335,0,4.375,0.0,2.7916666666666665,5.89e-05,0.0,0.0
